gene,in_ResLit,in_ResFinder,in_CARD,in_RefGeneCatalog,num_databases
blal1a,True,False,False,False,1
blal2,True,False,False,True,2
blalap,True,True,True,True,4
blalap−2,True,False,False,False,1
blalaq,True,False,True,True,3
blalat,True,True,True,True,4
blalcr,False,True,True,True,3
blalen,True,True,True,True,4
blalen16,True,False,False,False,1
blalen17,True,False,False,False,1
blalen_15,True,False,False,False,1
blalhk,True,False,True,True,3
blalmb,False,True,True,True,3
blalra1,True,False,True,True,3
blalra10,False,False,True,True,2
blalra12,True,False,True,True,3
blalra13,False,False,True,False,1
blalra17,False,False,True,True,2
blalra18,False,False,True,True,2
blalra19,True,False,True,True,3
blalra2,False,False,True,True,2
blalra3,False,False,True,True,2
blalra5,True,False,True,True,3
blalra7,False,False,True,True,2
blalra8,False,False,True,True,2
blalra9,False,False,True,True,2
blalrg,False,False,True,True,2
blalus,False,False,True,True,2
blalut,True,True,True,True,4
blam,True,False,False,True,2
blamab,True,False,True,True,3
blamca,True,False,False,True,2
blamim,True,False,False,True,2
blamir,True,True,True,True,4
blamir1,True,False,False,False,1
blamoc,False,False,True,True,2
blamor,False,True,False,False,1
blamox,True,True,True,True,4
blamox3,True,False,False,False,1
blamsi,True,False,True,True,3
blamun,True,False,True,True,3
blamus,True,True,True,True,4
blamyo,True,False,True,True,3
blamyx,False,False,True,True,2
blandm,True,True,True,True,4
blandm −1,True,False,False,False,1
blandm(b),True,False,False,False,1
blandm-1-like,True,False,False,False,1
blandm1,True,False,False,False,1
blandm13,True,False,False,False,1
blandm5,True,False,False,False,1
blandm−1,True,False,False,False,1
blandm−5,True,False,False,False,1
blandm−7,True,False,False,False,1
blanps,False,True,True,True,3
blanwm,False,False,True,True,2
blaoch,True,True,True,True,4
blaohio,False,False,True,True,2
blaokp-a,True,True,True,True,4
